Uur,Totaal [kWh],Normaal[kWh],Laag [kWh],P max [kW],p contract [kW]
10-06-2018 06:45 tot 07:00,12.38,0,12.38,,
10-06-2018 07:00 tot 07:15,11.34,0,11.34,50,684
10-06-2018 07:15 tot 07:30,11.39,0,11.39,,
10-06-2018 07:30 tot 07:45,8.51,0,8.51,,
10-06-2018 07:45 tot 08:00,12.38,0,12.38,,
10-06-2018 08:00 tot 08:15,37.89,0,37.89,222,684
10-06-2018 08:15 tot 08:30,55.62,0,55.62,,
10-06-2018 08:30 tot 08:45,50.58,0,50.58,,
10-06-2018 08:45 tot 09:00,40.23,0,40.23,,
10-06-2018 09:00 tot 09:15,37.22,0,37.22,174,684
10-06-2018 09:15 tot 09:30,42.48,0,42.48,,
10-06-2018 09:30 tot 09:45,39.29,0,39.29,,
10-06-2018 09:45 tot 10:00,43.56,0,43.56,,
10-06-2018 10:00 tot 10:15,52.7,0,52.7,325,684
10-06-2018 10:15 tot 10:30,52.16,0,52.16,,
10-06-2018 10:30 tot 10:45,48.96,0,48.96,,
10-06-2018 10:45 tot 11:00,81.32,0,81.32,,
10-06-2018 11:00 tot 11:15,79.25,0,79.25,374,684
10-06-2018 11:15 tot 11:30,89.24,0,89.24,,
10-06-2018 11:30 tot 11:45,90.99,0,90.99,,
10-06-2018 11:45 tot 12:00,93.42,0,93.42,,
10-06-2018 12:00 tot 12:15,80.06,0,80.06,362,684
10-06-2018 12:15 tot 12:30,85.82,0,85.82,,
10-06-2018 12:30 tot 12:45,90.41,0,90.41,,
10-06-2018 12:45 tot 13:00,68.9,0,68.9,,
10-06-2018 13:00 tot 13:15,68.45,0,68.45,410,684
10-06-2018 13:15 tot 13:30,66.69,0,66.69,,
10-06-2018 13:30 tot 13:45,95.36,0,95.36,,
10-06-2018 13:45 tot 14:00,102.56,0,102.56,,
10-06-2018 14:00 tot 14:15,104.31,0,104.31,417,684
10-06-2018 14:15 tot 14:30,97.79,0,97.79,,
10-06-2018 14:30 tot 14:45,97.07,0,97.07,,
10-06-2018 14:45 tot 15:00,101.3,0,101.3,,
10-06-2018 15:00 tot 15:15,94.37,0,94.37,377,684
10-06-2018 15:15 tot 15:30,92.3,0,92.3,,
10-06-2018 15:30 tot 15:45,90.59,0,90.59,,
10-06-2018 15:45 tot 16:00,90.14,0,90.14,,
10-06-2018 16:00 tot 16:15,88.47,0,88.47,354,684
10-06-2018 16:15 tot 16:30,85.68,0,85.68,,
10-06-2018 16:30 tot 16:45,82.98,0,82.98,,
10-06-2018 16:45 tot 17:00,79.83,0,79.83,,
10-06-2018 17:00 tot 17:15,75.24,0,75.24,301,684
10-06-2018 17:15 tot 17:30,71.87,0,71.87,,
10-06-2018 17:30 tot 17:45,68.04,0,68.04,,
10-06-2018 17:45 tot 18:00,63.9,0,63.9,,
10-06-2018 18:00 tot 18:15,59.54,0,59.54,238,684
10-06-2018 18:15 tot 18:30,54.54,0,54.54,,
10-06-2018 18:30 tot 18:45,49.86,0,49.86,,
10-06-2018 18:45 tot 19:00,45.14,0,45.14,,
10-06-2018 19:00 tot 19:15,40.01,0,40.01,160,684
10-06-2018 19:15 tot 19:30,34.97,0,34.97,,
10-06-2018 19:30 tot 19:45,30.33,0,30.33,,
10-06-2018 19:45 tot 20:00,25.88,0,25.88,,
10-06-2018 20:00 tot 20:15,21.6,0,21.6,86,684
10-06-2018 20:15 tot 20:30,17.15,0,17.15,,
10-06-2018 20:30 tot 20:45,12.87,0,12.87,,
10-06-2018 20:45 tot 21:00,8.82,0,8.82,,
10-06-2018 21:00 tot 21:15,5.94,0,5.94,24,684
10-06-2018 21:15 tot 21:30,3.06,0,3.06,,
10-06-2018 21:30 tot 21:45,1.35,0,1.35,,
10-06-2018 21:45 tot 22:00,0.32,0,0.32,,
10-06-2018 22:00 tot 22:15,0,0,0,0,684
10-06-2018 22:15 tot 22:30,0,0,0,,
10-06-2018 22:30 tot 22:45,0,0,0,,
10-06-2018 22:45 tot 23:00,0,0,0,,
10-06-2018 23:00 tot 23:15,0,0,0,0,684
10-06-2018 23:15 tot 23:30,0,0,0,,
10-06-2018 23:30 tot 23:45,0,0,0,,
10-06-2018 23:45 tot 00:00,0,0,0,,
11-06-2018 00:00 tot 00:15,0,0,0,0,684
11-06-2018 00:15 tot 00:30,0,0,0,,
11-06-2018 00:30 tot 00:45,0,0,0,,
11-06-2018 00:45 tot 01:00,0,0,0,,
11-06-2018 01:00 tot 01:15,0,0,0,0,684
11-06-2018 01:15 tot 01:30,0,0,0,,
11-06-2018 01:30 tot 01:45,0,0,0,,
11-06-2018 01:45 tot 02:00,0,0,0,,
11-06-2018 02:00 tot 02:15,0,0,0,0,684
11-06-2018 02:15 tot 02:30,0,0,0,,
11-06-2018 02:30 tot 02:45,0,0,0,,
11-06-2018 02:45 tot 03:00,0,0,0,,
11-06-2018 03:00 tot 03:15,0,0,0,0,684
11-06-2018 03:15 tot 03:30,0,0,0,,
11-06-2018 03:30 tot 03:45,0,0,0,,
11-06-2018 03:45 tot 04:00,0,0,0,,
11-06-2018 04:00 tot 04:15,0,0,0,0,684
11-06-2018 04:15 tot 04:30,0,0,0,,
11-06-2018 04:30 tot 04:45,0,0,0,,
11-06-2018 04:45 tot 05:00,0,0,0,,
11-06-2018 05:00 tot 05:15,0,0,0,7,684
11-06-2018 05:15 tot 05:30,0,0,0,,
11-06-2018 05:30 tot 05:45,0.5,0,0.5,,
11-06-2018 05:45 tot 06:00,1.67,0,1.67,,
11-06-2018 06:00 tot 06:15,4.5,0,4.5,47,684
11-06-2018 06:15 tot 06:30,8.87,0,8.87,,
11-06-2018 06:30 tot 06:45,11.25,0,11.25,,
11-06-2018 06:45 tot 07:00,11.79,0,11.79,,
11-06-2018 07:00 tot 07:15,15.89,15.89,0,115,684
11-06-2018 07:15 tot 07:30,20.84,20.84,0,,
11-06-2018 07:30 tot 07:45,22.64,22.64,0,,
11-06-2018 07:45 tot 08:00,28.76,28.76,0,,
11-06-2018 08:00 tot 08:15,32.58,32.58,0,174,684
11-06-2018 08:15 tot 08:30,35.69,35.69,0,,
11-06-2018 08:30 tot 08:45,38.3,38.3,0,,
11-06-2018 08:45 tot 09:00,43.52,43.52,0,,
11-06-2018 09:00 tot 09:15,50.58,50.58,0,256,684
11-06-2018 09:15 tot 09:30,54.32,54.32,0,,
11-06-2018 09:30 tot 09:45,63.95,63.95,0,,
11-06-2018 09:45 tot 10:00,59.67,59.67,0,,
11-06-2018 10:00 tot 10:15,64.8,64.8,0,341,684
11-06-2018 10:15 tot 10:30,79.79,79.79,0,,
11-06-2018 10:30 tot 10:45,85.32,85.32,0,,
11-06-2018 10:45 tot 11:00,78.93,78.93,0,,
11-06-2018 11:00 tot 11:15,63.72,63.72,0,426,684
11-06-2018 11:15 tot 11:30,52.47,52.47,0,,
11-06-2018 11:30 tot 11:45,72.36,72.36,0,,
11-06-2018 11:45 tot 12:00,106.52,106.52,0,,
11-06-2018 12:00 tot 12:15,103.82,103.82,0,425,684
11-06-2018 12:15 tot 12:30,105.93,105.93,0,,
11-06-2018 12:30 tot 12:45,106.29,106.29,0,,
11-06-2018 12:45 tot 13:00,99.14,99.14,0,,
11-06-2018 13:00 tot 13:15,110.39,110.39,0,447,684
11-06-2018 13:15 tot 13:30,96.26,96.26,0,,
11-06-2018 13:30 tot 13:45,111.83,111.83,0,,
11-06-2018 13:45 tot 14:00,109.35,109.35,0,,
11-06-2018 14:00 tot 14:15,101.48,101.48,0,406,684
11-06-2018 14:15 tot 14:30,100.17,100.17,0,,
11-06-2018 14:30 tot 14:45,93.65,93.65,0,,
11-06-2018 14:45 tot 15:00,92.07,92.07,0,,
11-06-2018 15:00 tot 15:15,101.66,101.66,0,407,684
11-06-2018 15:15 tot 15:30,97.92,97.92,0,,
11-06-2018 15:30 tot 15:45,92.61,92.61,0,,
11-06-2018 15:45 tot 16:00,93.06,93.06,0,,
11-06-2018 16:00 tot 16:15,72.77,72.77,0,370,684
11-06-2018 16:15 tot 16:30,92.61,92.61,0,,
11-06-2018 16:30 tot 16:45,58.59,58.59,0,,
11-06-2018 16:45 tot 17:00,83.7,83.7,0,,
11-06-2018 17:00 tot 17:15,67.19,67.19,0,302,684
11-06-2018 17:15 tot 17:30,75.38,75.38,0,,
11-06-2018 17:30 tot 17:45,74.03,74.03,0,,
11-06-2018 17:45 tot 18:00,67.19,67.19,0,,
11-06-2018 18:00 tot 18:15,58.05,58.05,0,232,684
11-06-2018 18:15 tot 18:30,48.33,48.33,0,,
11-06-2018 18:30 tot 18:45,49.82,49.82,0,,
11-06-2018 18:45 tot 19:00,45.27,45.27,0,,
11-06-2018 19:00 tot 19:15,36.77,36.77,0,153,684
11-06-2018 19:15 tot 19:30,38.3,38.3,0,,
11-06-2018 19:30 tot 19:45,32,32,0,,
11-06-2018 19:45 tot 20:00,26.78,26.78,0,,
11-06-2018 20:00 tot 20:15,26.01,26.01,0,104,684
11-06-2018 20:15 tot 20:30,21.11,21.11,0,,
11-06-2018 20:30 tot 20:45,16.52,16.52,0,,
11-06-2018 20:45 tot 21:00,10.67,10.67,0,,
11-06-2018 21:00 tot 21:15,6.98,6.98,0,28,684
11-06-2018 21:15 tot 21:30,3.6,3.6,0,,
11-06-2018 21:30 tot 21:45,1.89,1.89,0,,
11-06-2018 21:45 tot 22:00,0.63,0.63,0,,
11-06-2018 22:00 tot 22:15,0.05,0.05,0,0,684
11-06-2018 22:15 tot 22:30,0,0,0,,
11-06-2018 22:30 tot 22:45,0,0,0,,
11-06-2018 22:45 tot 23:00,0,0,0,,
11-06-2018 23:00 tot 23:15,0,0,0,0,684
